==53908== NVPROF is profiling process 53908, command: python3 cublas.py -M 4096 -K 4096 -N 4096 --precision 32
==53908== Profiling application: python3 cublas.py -M 4096 -K 4096 -N 4096 --precision 32
==53908== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,,,,
0.848320,6.785727,,,,,,,,,,64.000000,9.210509,"Pageable","Device","NVIDIA Tesla V100-PCIE-32GB (0)","1","16","[CUDA memcpy HtoD]",443
0.855129,10.943948,,,,,,,,,,64.000000,5.710919,"Pageable","Device","NVIDIA Tesla V100-PCIE-32GB (0)","1","17","[CUDA memcpy HtoD]",444
1.769993,0.001856,,,,,,,,,,0.000015,0.008029,"Device",,"NVIDIA Tesla V100-PCIE-32GB (0)","1","7","[CUDA memset]",2043
1.770004,0.001152,,,,,,,,,,0.000002,0.001617,"Pageable","Device","NVIDIA Tesla V100-PCIE-32GB (0)","1","7","[CUDA memcpy HtoD]",2045
1.770015,0.001184,,,,,,,,,,0.000004,0.003146,"Pageable","Device","NVIDIA Tesla V100-PCIE-32GB (0)","1","7","[CUDA memcpy HtoD]",2047
1.770025,0.001216,,,,,,,,,,0.000008,0.006127,"Pageable","Device","NVIDIA Tesla V100-PCIE-32GB (0)","1","7","[CUDA memcpy HtoD]",2049
1.770035,0.001152,,,,,,,,,,0.000008,0.006468,"Pageable","Device","NVIDIA Tesla V100-PCIE-32GB (0)","1","7","[CUDA memcpy HtoD]",2051
1.770044,0.001152,,,,,,,,,,0.000015,0.012935,"Pageable","Device","NVIDIA Tesla V100-PCIE-32GB (0)","1","7","[CUDA memcpy HtoD]",2053
1.770052,0.001152,,,,,,,,,,0.000015,0.012935,"Device",,"NVIDIA Tesla V100-PCIE-32GB (0)","1","7","[CUDA memset]",2055
1.770060,0.001152,,,,,,,,,,0.000015,0.012935,"Device",,"NVIDIA Tesla V100-PCIE-32GB (0)","1","7","[CUDA memset]",2057
1.770543,17.703884,32,128,1,256,1,1,134,41.000000,0,,,,,"NVIDIA Tesla V100-PCIE-32GB (0)","1","16","volta_sgemm_128x32_sliced1x4_nn",2060
1.788255,13.229601,,,,,,,,,,64.000000,4.724254,"Device","Pageable","NVIDIA Tesla V100-PCIE-32GB (0)","1","16","[CUDA memcpy DtoH]",2062
