"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"shared_store_transactions","Shared Store Transactions",2508983,2508983,2508983
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"shared_load_transactions","Shared Load Transactions",8794086,8794086,8794086
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"gld_transactions","Global Load Transactions",6942872,6942872,6942872
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"gst_transactions","Global Store Transactions",786816,786816,786816
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"l2_read_transactions","L2 Read Transactions",6945624,6945624,6945624
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"l2_write_transactions","L2 Write Transactions",786862,786862,786862
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"dram_read_transactions","Device Memory Read Transactions",1123806,1123806,1123806
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"dram_write_transactions","Device Memory Write Transactions",732360,732360,732360
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"local_memory_overhead","Local Memory Overhead",2.986382%,2.986382%,2.986382%
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"shared_efficiency","Shared Memory Efficiency",45.619044%,45.619044%,45.619044%
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"shared_utilization","Shared Memory Utilization","Low (3)","Low (3)","Low (3)"
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"ldst_issued","Issued Load/Store Instructions",6406700,6406700,6406700
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"ldst_executed","Executed Load/Store Instructions",6406700,6406700,6406700
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"sm_efficiency","Multiprocessor Activity",80.764184%,80.764184%,80.764184%
"Tesla V100-PCIE-32GB (0)","volta_dgemm_128x64_nn",1,"achieved_occupancy","Achieved Occupancy",0.116247,0.116247,0.116247
