"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"shared_store_transactions","Shared Store Transactions",33554432,33554432,33554432
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"shared_load_transactions","Shared Load Transactions",268497504,268502269,268500801
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"gld_transactions","Global Load Transactions",133211730,133231298,133221560
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"gst_transactions","Global Store Transactions",2097152,2097152,2097152
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"l2_read_transactions","L2 Read Transactions",133843485,134149821,133989606
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"l2_write_transactions","L2 Write Transactions",2097172,2121047,2104207
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"dram_read_transactions","Device Memory Read Transactions",22106520,48647608,39866094
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"dram_write_transactions","Device Memory Write Transactions",2002463,2178854,2094460
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"local_memory_overhead","Local Memory Overhead",0.499176%,1.006208%,0.730174%
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"shared_efficiency","Shared Memory Efficiency",44.434614%,44.435315%,44.434830%
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"shared_utilization","Shared Memory Utilization","Low (3)","Low (3)","Low (3)"
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"ldst_issued","Issued Load/Store Instructions",167919616,167919616,167919616
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"ldst_executed","Executed Load/Store Instructions",167919616,167919616,167919616
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"sm_efficiency","Multiprocessor Activity",91.725695%,98.168141%,97.490366%
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",10,"achieved_occupancy","Achieved Occupancy",0.242537,0.244566,0.242930
