"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_store_transactions","Shared Store Transactions",151052307,151057952,151055443
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_load_transactions","Shared Load Transactions",268482375,268498159,268490581
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"gld_transactions","Global Load Transactions",133794171,133815435,133806018
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"gst_transactions","Global Store Transactions",2097152,2097152,2097152
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_global_atomic_store_bytes","Bytes written to L2 from L1 for global atomics",0,0,0
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_global_load_bytes","Bytes read from L2 for misses in L1 for global loads",4273292416,4281737120,4279133069
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_read_transactions","L2 Read Transactions",133945849,134222980,134129096
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_write_transactions","L2 Write Transactions",2097172,2120983,2098201
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"dram_read_bytes","Total bytes read from DRAM to L2 cache",792456576,1367732544,1045378099
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"dram_read_transactions","Device Memory Read Transactions",24764268,42741642,32668065
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"dram_write_transactions","Device Memory Write Transactions",1998921,2102266,2082801
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"local_memory_overhead","Local Memory Overhead",0.172641%,0.433612%,0.306896%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_efficiency","Shared Memory Efficiency",31.990655%,31.991704%,31.991181%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_utilization","Shared Memory Utilization","Mid (4)","Mid (4)","Mid (4)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"ldst_issued","Issued Load/Store Instructions",188891136,188891136,188891136
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"ldst_executed","Executed Load/Store Instructions",188891136,188891136,188891136
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"sm_efficiency","Multiprocessor Activity",97.984757%,98.357849%,98.304054%
