==71356== NVPROF is profiling process 71356, command: /home/jacobsi/anaconda3/bin/python3 sdfg_api_v3.py -M 4096 -K 4096 -N 4096 --precision 32 --double-buffering
==71356== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==71356== Profiling application: /home/jacobsi/anaconda3/bin/python3 sdfg_api_v3.py -M 4096 -K 4096 -N 4096 --precision 32 --double-buffering
==71356== Profiling result:
==71356== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_store_transactions","Shared Store Transactions",50342563,50344532,50343453
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_load_transactions","Shared Load Transactions",268488359,268493532,268490852
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"gld_transactions","Global Load Transactions",133681905,133713682,133700896
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"gst_transactions","Global Store Transactions",2097152,2097152,2097152
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_global_atomic_store_bytes","Bytes written to L2 from L1 for global atomics",0,0,0
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_global_load_bytes","Bytes read from L2 for misses in L1 for global loads",4245413792,4274137760,4256807426
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_read_transactions","L2 Read Transactions",132660093,134023601,133506305
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_write_transactions","L2 Write Transactions",2097172,2109667,2097927
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"dram_read_bytes","Total bytes read from DRAM to L2 cache",670142144,850739904,755698210
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"dram_read_transactions","Device Memory Read Transactions",20941942,26585622,23615569
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"dram_write_transactions","Device Memory Write Transactions",1998938,2109145,2083990
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"local_memory_overhead","Local Memory Overhead",0.000000%,1.030639%,0.379725%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_efficiency","Shared Memory Efficiency",42.096060%,42.096767%,42.096388%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_utilization","Shared Memory Utilization","Low (3)","Low (3)","Low (3)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"ldst_issued","Issued Load/Store Instructions",201474048,201474048,201474048
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"ldst_executed","Executed Load/Store Instructions",201474048,201474048,201474048
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"sm_efficiency","Multiprocessor Activity",98.217755%,98.348067%,98.307042%
