==122847== NVPROF is profiling process 122847, command: /home/jacobsi/anaconda3/bin/python3 sdfg_api_v3.py -M 4096 -K 4096 -N 4096 --precision 32 --double-buffering
==122847== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==122847== Profiling application: /home/jacobsi/anaconda3/bin/python3 sdfg_api_v3.py -M 4096 -K 4096 -N 4096 --precision 32 --double-buffering
==122847== Profiling result:
==122847== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"shared_store_transactions","Shared Store Transactions",50345035,50362354,50353578
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"shared_load_transactions","Shared Load Transactions",269726230,269747493,269736541
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"gld_transactions","Global Load Transactions",133888536,133926241,133910305
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"gst_transactions","Global Store Transactions",2097152,2097152,2097152
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"l2_global_atomic_store_bytes","Bytes written to L2 from L1 for global atomics",0,0,0
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"l2_global_load_bytes","Bytes read from L2 for misses in L1 for global loads",4244341824,4284375328,4270694689
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"l2_read_transactions","L2 Read Transactions",132765172,134204687,133796421
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"l2_write_transactions","L2 Write Transactions",2097172,2120906,2098547
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"dram_read_bytes","Total bytes read from DRAM to L2 cache",618212544,1718116480,1230503526
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"dram_read_transactions","Device Memory Read Transactions",19319142,53691140,38453235
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"dram_write_transactions","Device Memory Write Transactions",1998931,2108566,2085679
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"local_memory_overhead","Local Memory Overhead",0.000000%,1.284639%,0.285188%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"shared_efficiency","Shared Memory Efficiency",41.928921%,41.933059%,41.931231%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"shared_utilization","Shared Memory Utilization","Low (3)","Low (3)","Low (3)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"ldst_issued","Issued Load/Store Instructions",172105728,172105728,172105728
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"ldst_executed","Executed Load/Store Instructions",172105728,172105728,172105728
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"sm_efficiency","Multiprocessor Activity",98.178819%,98.370164%,98.314474%
