"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"shared_store_transactions","Shared Store Transactions",151000230,151004129,151002475
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"shared_load_transactions","Shared Load Transactions",268438749,268439418,268439164
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"gld_transactions","Global Load Transactions",134217378,134217633,134217508
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"gst_transactions","Global Store Transactions",2097152,2097152,2097152
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"l2_global_atomic_store_bytes","Bytes written to L2 from L1 for global atomics",0,0,0
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"l2_global_load_bytes","Bytes read from L2 for misses in L1 for global loads",4294957088,4294964256,4294960429
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"l2_read_transactions","L2 Read Transactions",134217824,134232032,134218941
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"l2_write_transactions","L2 Write Transactions",2097172,2101843,2097495
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"dram_read_bytes","Total bytes read from DRAM to L2 cache",952107200,957619424,952173362
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"dram_read_transactions","Device Memory Read Transactions",29753350,29925607,29755417
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"dram_write_transactions","Device Memory Write Transactions",1998860,2108613,2082715
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"local_memory_overhead","Local Memory Overhead",0.000078%,0.000255%,0.000161%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"shared_efficiency","Shared Memory Efficiency",31.999011%,31.999319%,31.999142%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"shared_utilization","Shared Memory Utilization","Mid (4)","Mid (4)","Mid (4)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"ldst_issued","Issued Load/Store Instructions",193077248,193077248,193077248
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"ldst_executed","Executed Load/Store Instructions",193077248,193077248,193077248
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, dace::exttype_float32_4 const *, float*, int, int, int)",100,"sm_efficiency","Multiprocessor Activity",98.383142%,98.417883%,98.401168%
