==48206== NVPROF is profiling process 48206, command: python3 sdfg_api_v3.py -M 4096 -K 4096 -N 4096 --precision 32 --double-buffering -r 100
==48206== Profiling application: python3 sdfg_api_v3.py -M 4096 -K 4096 -N 4096 --precision 32 --double-buffering -r 100
==48206== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",36.983269,1.150090,200,5.750449,5.461951,8.882410,"[CUDA memcpy HtoD]"
"GPU activities",36.944876,1.148896,100,11.488960,11.374939,12.209719,"cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)"
"GPU activities",22.555861,0.701433,100,7.014325,6.246810,9.378536,"[CUDA memcpy DtoH]"
"GPU activities",2.949295,0.091716,100,0.917159,0.916922,0.918395,"initialize_matmul_result_1_0_1(float*, int, int)"
"GPU activities",0.566699,0.017623,100,0.176229,0.171775,0.280863,"[CUDA memcpy DtoD]"
"API calls",52.491392,1.891766,400,4.729414,0.016830,9.723051,"cudaMemcpyAsync"
"API calls",34.497609,1.243278,200,6.216390,0.002060,13.169104,"cudaStreamSynchronize"
"API calls",7.484460,0.269737,401,0.672659,0.193809,119.932475,"cudaMalloc"
"API calls",3.702028,0.133419,401,0.332716,0.173509,14.759271,"cudaFree"
"API calls",1.533427,0.055264,1,55.264001,55.264001,55.264001,"cuDevicePrimaryCtxRelease"
"API calls",0.168719,0.006081,200,0.030402,0.006100,0.098530,"cudaLaunchKernel"
"API calls",0.061302,0.002209,404,0.005468,0.000250,0.250409,"cuDeviceGetAttribute"
"API calls",0.023397,0.000843,100,0.008432,0.006340,0.027800,"cudaEventRecord"
"API calls",0.016263,0.000586,1,0.586119,0.586119,0.586119,"cuModuleUnload"
"API calls",0.012038,0.000434,100,0.004338,0.002920,0.026729,"cudaStreamWaitEvent"
"API calls",0.005987,0.000216,4,0.053942,0.051059,0.059770,"cuDeviceGetName"
"API calls",0.001949,0.000070,2,0.035115,0.006130,0.064100,"cudaStreamDestroy"
"API calls",0.000535,0.000019,2,0.009640,0.001960,0.017320,"cudaStreamCreateWithFlags"
"API calls",0.000306,0.000011,4,0.002760,0.001110,0.005500,"cuDeviceGetPCIBusId"
"API calls",0.000138,0.000005,2,0.002490,0.000610,0.004370,"cudaEventCreateWithFlags"
"API calls",0.000102,0.000004,1,0.003660,0.003660,0.003660,"cudaGetDeviceCount"
"API calls",0.000100,0.000004,2,0.001800,0.001050,0.002550,"cudaEventDestroy"
"API calls",0.000082,0.000003,8,0.000368,0.000260,0.000750,"cuDeviceGet"
"API calls",0.000075,0.000003,4,0.000675,0.000640,0.000740,"cuDeviceTotalMem"
"API calls",0.000050,0.000002,4,0.000450,0.000380,0.000630,"cuDeviceGetUuid"
"API calls",0.000042,0.000002,3,0.000509,0.000360,0.000789,"cuDeviceGetCount"
