==13495== NVPROF is profiling process 13495, command: /home/jacobsi/anaconda3/bin/python3 sdfg_api_v2.py -M 1024 -N 1024 -K 1024 --precision 64 --double-buffering --swizzle-threads
==13495== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13495== Profiling application: /home/jacobsi/anaconda3/bin/python3 sdfg_api_v2.py -M 1024 -N 1024 -K 1024 --precision 64 --double-buffering --swizzle-threads
==13495== Profiling result:
==13495== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"gld_transactions","Global Load Transactions",262144,262144,262144
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"gst_transactions","Global Store Transactions",262144,262144,262144
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"l2_read_transactions","L2 Read Transactions",262240,262240,262240
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"l2_write_transactions","L2 Write Transactions",262299,262299,262299
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",262151,262151,262151
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",261754,261754,261754
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"shared_utilization","Shared Memory Utilization","Idle (0)","Idle (0)","Idle (0)"
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"ldst_issued","Issued Load/Store Instructions",163840,163840,163840
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"ldst_executed","Executed Load/Store Instructions",163840,163840,163840
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"sm_efficiency","Multiprocessor Activity",89.366836%,89.366836%,89.366836%
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_11(double*, double const *, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.071917,0.071917,0.071917
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"gld_transactions","Global Load Transactions",524288,524288,524288
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"gst_transactions","Global Store Transactions",262144,262144,262144
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"l2_read_transactions","L2 Read Transactions",524384,524384,524384
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"l2_write_transactions","L2 Write Transactions",262176,262176,262176
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",524294,524294,524294
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",291139,291139,291139
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"shared_utilization","Shared Memory Utilization","Idle (0)","Idle (0)","Idle (0)"
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"ldst_issued","Issued Load/Store Instructions",196608,196608,196608
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"ldst_executed","Executed Load/Store Instructions",196608,196608,196608
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"sm_efficiency","Multiprocessor Activity",87.775121%,87.775121%,87.775121%
"Tesla V100-PCIE-32GB (0)","add_matrices_0_0_17(double const *, double const *, double*, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.096170,0.096170,0.096170
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"gld_transactions","Global Load Transactions",262144,262144,262144
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"gst_transactions","Global Store Transactions",262144,262144,262144
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"l2_read_transactions","L2 Read Transactions",262240,262240,262240
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"l2_write_transactions","L2 Write Transactions",286112,286112,286112
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",262183,262183,262183
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",277836,277836,277836
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"shared_utilization","Shared Memory Utilization","Idle (0)","Idle (0)","Idle (0)"
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"ldst_issued","Issued Load/Store Instructions",163840,163840,163840
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"ldst_executed","Executed Load/Store Instructions",163840,163840,163840
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"sm_efficiency","Multiprocessor Activity",90.493597%,90.493597%,90.493597%
"Tesla V100-PCIE-32GB (0)","multiply_matrix_with_constant_0_0_14(double const *, double*, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.070658,0.070658,0.070658
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"gld_transactions","Global Load Transactions",0,0,0
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"gst_transactions","Global Store Transactions",262144,262144,262144
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"l2_read_transactions","L2 Read Transactions",292,292,292
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"l2_write_transactions","L2 Write Transactions",286130,286130,286130
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",11,11,11
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",163984,163984,163984
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"shared_utilization","Shared Memory Utilization","Idle (0)","Idle (0)","Idle (0)"
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"ldst_issued","Issued Load/Store Instructions",131072,131072,131072
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"ldst_executed","Executed Load/Store Instructions",131072,131072,131072
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"sm_efficiency","Multiprocessor Activity",63.241004%,63.241004%,63.241004%
"Tesla V100-PCIE-32GB (0)","initialize_matmul_result_1_0_1(double*, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.020706,0.020706,0.020706
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"shared_store_transactions","Shared Store Transactions",3378058,3378058,3378058
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",50409200,50409200,50409200
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"gld_transactions","Global Load Transactions",13630776,13630776,13630776
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"gst_transactions","Global Store Transactions",1048576,1048576,1048576
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"l2_read_transactions","L2 Read Transactions",12758286,12758286,12758286
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"l2_write_transactions","L2 Write Transactions",1048618,1048618,1048618
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",1074502,1074502,1074502
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",291925,291925,291925
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"local_memory_overhead","Local Memory Overhead",7.431780%,7.431780%,7.431780%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"shared_efficiency","Shared Memory Efficiency",17.545390%,17.545390%,17.545390%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"shared_utilization","Shared Memory Utilization","High (9)","High (9)","High (9)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"ldst_issued","Issued Load/Store Instructions",12263424,12263424,12263424
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"ldst_executed","Executed Load/Store Instructions",12263424,12263424,12263424
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"sm_efficiency","Multiprocessor Activity",91.111951%,91.111951%,91.111951%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(double const *, double const *, double*, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.214925,0.214925,0.214925
