"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"shared_store_transactions","Shared Store Transactions",36201274,36201274,36201274
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",1610777994,1610777994,1610777994
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"gld_transactions","Global Load Transactions",149921699,149921699,149921699
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"gst_transactions","Global Store Transactions",16777216,16777216,16777216
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"l2_read_transactions","L2 Read Transactions",132483775,132483775,132483775
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"l2_write_transactions","L2 Write Transactions",16803895,16803895,16803895
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",19802084,19802084,19802084
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",2236340,2236340,2236340
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"local_memory_overhead","Local Memory Overhead",11.980525%,11.980525%,11.980525%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"shared_efficiency","Shared Memory Efficiency",8.149327%,8.149327%,8.149327%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"shared_utilization","Shared Memory Utilization","High (9)","High (9)","High (9)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"ldst_issued","Issued Load/Store Instructions",424706048,424706048,424706048
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"ldst_executed","Executed Load/Store Instructions",424706048,424706048,424706048
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"sm_efficiency","Multiprocessor Activity",92.072311%,92.072311%,92.072311%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.243592,0.243592,0.243592
