"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"shared_store_transactions","Shared Store Transactions",36256116,36256116,36256116
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",1208060103,1208060103,1208060103
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"gld_transactions","Global Load Transactions",149935939,149935939,149935939
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"gst_transactions","Global Store Transactions",16777216,16777216,16777216
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"l2_read_transactions","L2 Read Transactions",130796671,130796671,130796671
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"l2_write_transactions","L2 Write Transactions",16783298,16783298,16783298
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",19861102,19861102,19861102
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",2229782,2229782,2229782
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"local_memory_overhead","Local Memory Overhead",13.890060%,13.890060%,13.890060%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"shared_efficiency","Shared Memory Efficiency",10.786465%,10.786465%,10.786465%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"shared_utilization","Shared Memory Utilization","High (8)","High (8)","High (8)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"ldst_issued","Issued Load/Store Instructions",424706048,424706048,424706048
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"ldst_executed","Executed Load/Store Instructions",424706048,424706048,424706048
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"sm_efficiency","Multiprocessor Activity",92.356627%,92.356627%,92.356627%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.243464,0.243464,0.243464
