"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"shared_store_transactions","Shared Store Transactions",36010191,36010191,36010191
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",1073935976,1073935976,1073935976
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"gld_transactions","Global Load Transactions",149866973,149866973,149866973
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"gst_transactions","Global Store Transactions",16777216,16777216,16777216
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"l2_read_transactions","L2 Read Transactions",131513428,131513428,131513428
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"l2_write_transactions","L2 Write Transactions",16814109,16814109,16814109
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",19404306,19404306,19404306
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",2221417,2221417,2221417
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"local_memory_overhead","Local Memory Overhead",12.498380%,12.498380%,12.498380%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"shared_efficiency","Shared Memory Efficiency",16.626876%,16.626876%,16.626876%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"shared_utilization","Shared Memory Utilization","High (8)","High (8)","High (8)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"ldst_issued","Issued Load/Store Instructions",357597184,357597184,357597184
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"ldst_executed","Executed Load/Store Instructions",357597184,357597184,357597184
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"sm_efficiency","Multiprocessor Activity",93.261408%,93.261408%,93.261408%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.240737,0.240737,0.240737
