"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"shared_store_transactions","Shared Store Transactions",70914025,70914025,70914025
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",806149105,806149105,806149105
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"gld_transactions","Global Load Transactions",410979753,410979753,410979753
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"gst_transactions","Global Store Transactions",8388608,8388608,8388608
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"l2_read_transactions","L2 Read Transactions",254713036,254713036,254713036
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"l2_write_transactions","L2 Write Transactions",8388650,8388650,8388650
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",32631434,32631434,32631434
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",2151669,2151669,2151669
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"local_memory_overhead","Local Memory Overhead",3.043615%,3.043615%,3.043615%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"shared_efficiency","Shared Memory Efficiency",30.606173%,30.606173%,30.606173%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"shared_utilization","Shared Memory Utilization","Mid (6)","Mid (6)","Mid (6)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"ldst_issued","Issued Load/Store Instructions",437354496,437354496,437354496
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"ldst_executed","Executed Load/Store Instructions",437354496,437354496,437354496
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"sm_efficiency","Multiprocessor Activity",98.877501%,98.877501%,98.877501%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(dace::exttype_float32_4 const *, dace::exttype_float32_4 const *, float*, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.492759,0.492759,0.492759
